code,description,subcategory,category,commoncat
a49,bacterial infection of unspecified site,other bacterial diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a50,congenital syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a51,early syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a52,late syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a53,other and unspecified syphilis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a54,gonococcal infection,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a55,chlamydial lymphogranuloma (venereum),infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a56,other sexually transmitted chlamydial diseases,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a57,chancroid,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a58,granuloma inguinale,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a59,trichomoniasis,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a60,anogenital herpesviral [herpes simplex] infections,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a63,"other predominantly sexually transmitted diseases, nec",infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a64,unspecified sexually transmitted disease,infections with a predominantly sexual mode of transmission,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a65,nonvenereal syphilis,other spirochetal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a66,yaws,other spirochetal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a67,pinta [carate],other spirochetal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a68,relapsing fevers,other spirochetal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a69,other spirochetal infections,other spirochetal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a70,chlamydia psittaci infections,other diseases caused by chlamydiae,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a71,trachoma,other diseases caused by chlamydiae,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a74,other diseases caused by chlamydiae,other diseases caused by chlamydiae,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a75,typhus fever,rickettsioses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a77,spotted fever [tick-borne rickettsioses],rickettsioses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a78,q fever,rickettsioses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a79,other rickettsioses,rickettsioses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a80,acute poliomyelitis,viral and prion infections of the central nervous system,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a81,atypical virus infections of central nervous system,viral and prion infections of the central nervous system,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a82,rabies,viral and prion infections of the central nervous system,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a83,mosquito-borne viral encephalitis,viral and prion infections of the central nervous system,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a84,tick-borne viral encephalitis,viral and prion infections of the central nervous system,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a85,"other viral encephalitis, nec",viral and prion infections of the central nervous system,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a86,unspecified viral encephalitis,viral and prion infections of the central nervous system,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a87,viral meningitis,viral and prion infections of the central nervous system,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a88,"other viral infections of central nervous system, nec",viral and prion infections of the central nervous system,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a89,unspecified viral infection of central nervous system,viral and prion infections of the central nervous system,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a90,dengue fever [classical dengue],arthropod-borne viral fevers and viral hemorrhagic fevers,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a91,dengue hemorrhagic fever,arthropod-borne viral fevers and viral hemorrhagic fevers,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a92,other mosquito-borne viral fevers,arthropod-borne viral fevers and viral hemorrhagic fevers,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a93,"other arthropod-borne viral fevers, nec",arthropod-borne viral fevers and viral hemorrhagic fevers,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a94,unspecified arthropod-borne viral fever,arthropod-borne viral fevers and viral hemorrhagic fevers,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a95,yellow fever,arthropod-borne viral fevers and viral hemorrhagic fevers,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a96,arenaviral hemorrhagic fever,arthropod-borne viral fevers and viral hemorrhagic fevers,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a98,"other viral hemorrhagic fevers, nec",arthropod-borne viral fevers and viral hemorrhagic fevers,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
a99,unspecified viral hemorrhagic fever,arthropod-borne viral fevers and viral hemorrhagic fevers,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b00,herpesviral [herpes simplex] infections,viral infections characterized by skin and mucous membrane lesions,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b01,varicella [chickenpox],viral infections characterized by skin and mucous membrane lesions,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b02,zoster [herpes zoster],viral infections characterized by skin and mucous membrane lesions,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b03,smallpox,viral infections characterized by skin and mucous membrane lesions,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b04,monkeypox,viral infections characterized by skin and mucous membrane lesions,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b05,measles,viral infections characterized by skin and mucous membrane lesions,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b06,rubella [german measles],viral infections characterized by skin and mucous membrane lesions,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b07,viral warts,viral infections characterized by skin and mucous membrane lesions,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b08,"other viral infections characterized by skin and mucous membrane lesions, nec",viral infections characterized by skin and mucous membrane lesions,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b09,unspecified viral infection characterized by skin and mucous membrane lesions,viral infections characterized by skin and mucous membrane lesions,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b10,other human herpesviruses,other human herpesviruses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b15,acute hepatitis a,viral hepatitis,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b16,acute hepatitis b,viral hepatitis,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b17,other acute viral hepatitis,viral hepatitis,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b18,chronic viral hepatitis,viral hepatitis,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b19,unspecified viral hepatitis,viral hepatitis,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b20,human immunodeficiency virus [hiv] disease,human immunodeficiency virus [hiv] disease,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b25,cytomegaloviral disease,other viral diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b26,mumps,other viral diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b27,infectious mononucleosis,other viral diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b30,viral conjunctivitis,other viral diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b33,"other viral diseases, nec",other viral diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b34,viral infection of unspecified site,other viral diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b35,dermatophytosis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b36,other superficial mycoses,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b37,candidiasis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b38,coccidioidomycosis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b39,histoplasmosis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b40,blastomycosis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b41,paracoccidioidomycosis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b42,sporotrichosis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b43,chromomycosis and pheomycotic abscess,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b44,aspergillosis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b45,cryptococcosis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b46,zygomycosis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b47,mycetoma,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b48,"other mycoses, nec",mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b49,unspecified mycosis,mycoses,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b50,plasmodium falciparum malaria,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b51,plasmodium vivax malaria,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b52,plasmodium malariae malaria,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b53,other specified malaria,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b54,unspecified malaria,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b55,leishmaniasis,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b56,african trypanosomiasis,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b57,chagas' disease,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b58,toxoplasmosis,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b59,pneumocystosis,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b60,"other protozoal diseases, nec",protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b64,unspecified protozoal disease,protozoal diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b65,schistosomiasis [bilharziasis],helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b66,other fluke infections,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b67,echinococcosis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b68,taeniasis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b69,cysticercosis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b70,diphyllobothriasis and sparganosis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b71,other cestode infections,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b72,dracunculiasis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b73,onchocerciasis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b74,filariasis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b75,trichinellosis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b76,hookworm diseases,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b77,ascariasis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b78,strongyloidiasis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b79,trichuriasis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b80,enterobiasis,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b81,"other intestinal helminthiases, nec",helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b82,unspecified intestinal parasitism,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b83,other helminthiases,helminthiases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b85,pediculosis and phthiriasis,"pediculosis, acariasis and other infestations",certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b86,scabies,"pediculosis, acariasis and other infestations",certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b87,myiasis,"pediculosis, acariasis and other infestations",certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b88,other infestations,"pediculosis, acariasis and other infestations",certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b89,unspecified parasitic disease,"pediculosis, acariasis and other infestations",certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b90,sequelae of tuberculosis,sequelae of infectious and parasitic diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b91,sequelae of poliomyelitis,sequelae of infectious and parasitic diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b92,sequelae of leprosy,sequelae of infectious and parasitic diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b94,sequelae of other and unspecified infectious and parasitic diseases,sequelae of infectious and parasitic diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b95,"streptococcus, staphylococcus, and enterococcus as the cause of diseases classified elsewhere",bacterial and viral infectious agents,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b96,other bacterial agents as the cause of diseases classified elsewhere,bacterial and viral infectious agents,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b97,viral agents as the cause of diseases classified elsewhere,bacterial and viral infectious agents,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
b99,other and unspecified infectious diseases,other infectious diseases,certain infectious and parasitic diseases (a00-b99),certain infectious and parasitic diseases
c00,malignant neoplasm of lip,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c01,malignant neoplasm of base of tongue,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c02,malignant neoplasm of other and unspecified parts of tongue,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c03,malignant neoplasm of gum,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c04,malignant neoplasm of floor of mouth,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c05,malignant neoplasm of palate,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c06,malignant neoplasm of other and unspecified parts of mouth,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c07,malignant neoplasm of parotid gland,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c08,malignant neoplasm of other and unspecified major salivary glands,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c09,malignant neoplasm of tonsil,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c10,malignant neoplasm of oropharynx,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c11,malignant neoplasm of nasopharynx,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c12,malignant neoplasm of pyriform sinus,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c13,malignant neoplasm of hypopharynx,"malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c14,"malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx","malignant neoplasms of lip, oral cavity and pharynx",neoplasms (c00-d49),neoplasms
c15,malignant neoplasm of esophagus,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c16,malignant neoplasm of stomach,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c17,malignant neoplasm of small intestine,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c18,malignant neoplasm of colon,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c19,malignant neoplasm of rectosigmoid junction,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c20,malignant neoplasm of rectum,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c21,malignant neoplasm of anus and anal canal,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c22,malignant neoplasm of liver and intrahepatic bile ducts,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c23,malignant neoplasm of gallbladder,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c24,malignant neoplasm of other and unspecified parts of biliary tract,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c25,malignant neoplasm of pancreas,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c26,malignant neoplasm of other and ill-defined digestive organs,malignant neoplasms of digestive organs,neoplasms (c00-d49),neoplasms
c30,malignant neoplasm of nasal cavity and middle ear,malignant neoplasms of respiratory and intrathoracic organs,neoplasms (c00-d49),neoplasms
c31,malignant neoplasm of accessory sinuses,malignant neoplasms of respiratory and intrathoracic organs,neoplasms (c00-d49),neoplasms
c32,malignant neoplasm of larynx,malignant neoplasms of respiratory and intrathoracic organs,neoplasms (c00-d49),neoplasms
c33,malignant neoplasm of trachea,malignant neoplasms of respiratory and intrathoracic organs,neoplasms (c00-d49),neoplasms
c34,malignant neoplasm of bronchus and lung,malignant neoplasms of respiratory and intrathoracic organs,neoplasms (c00-d49),neoplasms
c37,malignant neoplasm of thymus,malignant neoplasms of respiratory and intrathoracic organs,neoplasms (c00-d49),neoplasms
c38,"malignant neoplasm of heart, mediastinum and pleura",malignant neoplasms of respiratory and intrathoracic organs,neoplasms (c00-d49),neoplasms
c39,malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,malignant neoplasms of respiratory and intrathoracic organs,neoplasms (c00-d49),neoplasms
c40,malignant neoplasm of bone and articular cartilage of limbs,malignant neoplasms of bone and articular cartilage,neoplasms (c00-d49),neoplasms
c41,malignant neoplasm of bone and articular cartilage of other and unspecified sites,malignant neoplasms of bone and articular cartilage,neoplasms (c00-d49),neoplasms
c43,malignant melanoma of skin,melanoma and other malignant neoplasms of skin,neoplasms (c00-d49),neoplasms
c4a,merkel cell carcinoma,melanoma and other malignant neoplasms of skin,neoplasms (c00-d49),neoplasms
c44,other and unspecified malignant neoplasm of skin,melanoma and other malignant neoplasms of skin,neoplasms (c00-d49),neoplasms
c45,mesothelioma,malignant neoplasms of mesothelial and soft tissue,neoplasms (c00-d49),neoplasms
c46,kaposi's sarcoma,malignant neoplasms of mesothelial and soft tissue,neoplasms (c00-d49),neoplasms
c47,malignant neoplasm of peripheral nerves and autonomic nervous system,malignant neoplasms of mesothelial and soft tissue,neoplasms (c00-d49),neoplasms
c48,malignant neoplasm of retroperitoneum and peritoneum,malignant neoplasms of mesothelial and soft tissue,neoplasms (c00-d49),neoplasms
c49,malignant neoplasm of other connective and soft tissue,malignant neoplasms of mesothelial and soft tissue,neoplasms (c00-d49),neoplasms
c50,malignant neoplasm of breast,malignant neoplasms of breast,neoplasms (c00-d49),neoplasms
c51,malignant neoplasm of vulva,malignant neoplasms of female genital organs,neoplasms (c00-d49),neoplasms
c52,malignant neoplasm of vagina,malignant neoplasms of female genital organs,neoplasms (c00-d49),neoplasms
c53,malignant neoplasm of cervix uteri,malignant neoplasms of female genital organs,neoplasms (c00-d49),neoplasms
c54,malignant neoplasm of corpus uteri,malignant neoplasms of female genital organs,neoplasms (c00-d49),neoplasms
c55,"malignant neoplasm of uterus, part unspecified",malignant neoplasms of female genital organs,neoplasms (c00-d49),neoplasms
c56,malignant neoplasm of ovary,malignant neoplasms of female genital organs,neoplasms (c00-d49),neoplasms
c57,malignant neoplasm of other and unspecified female genital organs,malignant neoplasms of female genital organs,neoplasms (c00-d49),neoplasms
c58,malignant neoplasm of placenta,malignant neoplasms of female genital organs,neoplasms (c00-d49),neoplasms
c60,malignant neoplasm of penis,malignant neoplasms of male genital organs,neoplasms (c00-d49),neoplasms
c61,malignant neoplasm of prostate,malignant neoplasms of male genital organs,neoplasms (c00-d49),neoplasms
c62,malignant neoplasm of testis,malignant neoplasms of male genital organs,neoplasms (c00-d49),neoplasms
c63,malignant neoplasm of other and unspecified male genital organs,malignant neoplasms of male genital organs,neoplasms (c00-d49),neoplasms
c64,"malignant neoplasm of kidney, except renal pelvis",malignant neoplasms of urinary tract,neoplasms (c00-d49),neoplasms
c65,malignant neoplasm of renal pelvis,malignant neoplasms of urinary tract,neoplasms (c00-d49),neoplasms
c66,malignant neoplasm of ureter,malignant neoplasms of urinary tract,neoplasms (c00-d49),neoplasms
c67,malignant neoplasm of bladder,malignant neoplasms of urinary tract,neoplasms (c00-d49),neoplasms
c68,malignant neoplasm of other and unspecified urinary organs,malignant neoplasms of urinary tract,neoplasms (c00-d49),neoplasms
c69,malignant neoplasm of eye and adnexa,"malignant neoplasms of eye, brain and other parts of central nervous system",neoplasms (c00-d49),neoplasms
c70,malignant neoplasm of meninges,"malignant neoplasms of eye, brain and other parts of central nervous system",neoplasms (c00-d49),neoplasms
c71,malignant neoplasm of brain,"malignant neoplasms of eye, brain and other parts of central nervous system",neoplasms (c00-d49),neoplasms
c72,"malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system","malignant neoplasms of eye, brain and other parts of central nervous system",neoplasms (c00-d49),neoplasms
c73,malignant neoplasm of thyroid gland,malignant neoplasms of thyroid and other endocrine glands,neoplasms (c00-d49),neoplasms
c74,malignant neoplasm of adrenal gland,malignant neoplasms of thyroid and other endocrine glands,neoplasms (c00-d49),neoplasms
c75,malignant neoplasm of other endocrine glands and related structures,malignant neoplasms of thyroid and other endocrine glands,neoplasms (c00-d49),neoplasms
