code,description,category,subcategory,commoncat
045,acute poliomyelitis,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
046,slow virus infection of central nervous system,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
047,meningitis due to enterovirus,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
048,other enterovirus diseases of central nervous system,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
049,other non-arthropod-borne viral diseases of central nervous system,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
050,smallpox,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
051,cowpox and paravaccinia,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
052,chickenpox,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
053,herpes zoster,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
054,herpes simplex,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
055,measles,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
056,rubella,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
057,other viral exanthemata,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
060,yellow fever,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases
061,dengue,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases
062,mosquito-borne viral encephalitis,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases
063,tick-borne viral encephalitis,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases
064,viral encephalitis transmitted by other and unspecified arthropods,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases
065,arthropod-borne haemorrhagic fever,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases
066,other arthropod-borne viral diseases,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases
070,viral hepatitis,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases
071,rabies,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases
072,mumps,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases
073,ornithosis,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases
074,specific diseases due to coxsackie virus,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases
075,infectious mononucleosis,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases
076,trachoma,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases
077,other diseases of conjunctiva due to viruses and chlamydiae,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases
078,other diseases due to viruses and chlamydiae,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases
079,viral infection in conditions classified elsewhere and of unspecified site,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases
080,louse-borne (epidemic) typhus,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases
081,other typhus,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases
082,tick-borne rickettsioses,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases
083,other rickettsioses,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases
084,malaria,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases
085,leishmaniasis,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases
086,trypanosomiasis,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases
087,relapsing fever,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases
088,other arthropod-borne diseases,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases
090,congenital syphilis,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases
091,"early syphilis, symptomatic",infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases
092,"early syphilis, latent",infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases
093,cardiovascular syphilis,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases
094,neurosyphilis,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases
095,"other forms of late syphilis, with symptoms",infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases
096,"late syphilis, latent",infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases
097,other and unspecified syphilis,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases
098,gonococcal infections,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases
099,other venereal diseases,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases
100,leptospirosis,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
101,vincent's angina,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
102,yaws,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
103,pinta,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
104,other spirochaetal infection,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
110,dermatophytosis,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
111,"dermatomycosis, other and unspecified",infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
112,candidiasis,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
114,coccidioidomycosis,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
115,histoplasmosis,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
116,blastomycotic infection,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
117,other mycoses,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
118,opportunistic mycoses,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases
120,schistosomiasis (bilharziasis),infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases
121,other trematode infections,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases
122,echinococcosis,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases
123,other cestode infection,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases
124,trichinosis,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases
125,filarial infection and dracontiasis,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases
126,ancylostomiasis and necatoriasis,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases
127,other intestinal helminthiases,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases
128,other and unspecified helminthiases,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases
129,"intestinal parasitism, unspecified",infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases
130,toxoplasmosis,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases
131,trichomoniasis,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases
132,pediculosis and phthirus infestation,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases
133,acariasis,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases
134,other infestation,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases
135,sarcoidosis,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases
136,other and unspecified infectious and parasitic diseases,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases
137,late effects of tuberculosis,infections and parasitic diseases,late effects of infectious and parasitic diseases,certain infectious and parasitic diseases
138,late effects of acute poliomyelitis,infections and parasitic diseases,late effects of infectious and parasitic diseases,certain infectious and parasitic diseases
139,late effects of other infectious and parasitic diseases,infections and parasitic diseases,late effects of infectious and parasitic diseases,certain infectious and parasitic diseases
140,malignant neoplasm of lip,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms
141,malignant neoplasm of tongue,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms
142,malignant neoplasm of major salivary glands,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms
143,malignant neoplasm of gum,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms
144,malignant neoplasm of floor of mouth,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms
145,malignant neoplasm of other and unspecified parts of mouth,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms
146,malignant neoplasm of oropharynx,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms
147,malignant neoplasm of nasopharynx,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms
148,malignant neoplasm of hypopharynx,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms
149,"malignant neoplasm of other and ill-defined sites within the lip, oral cavity and pharynx",neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms
150,malignant neoplasm of oesophagus,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms
151,malignant neoplasm of stomach,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms
152,"malignant neoplasm of small intestine, including duodenum",neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms
153,malignant neoplasm of colon,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms
154,"malignant neoplasm of rectum, rectosigmoid junction and anus",neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms
155,malignant neoplasm of liver and intrahepatic bile ducts,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms
156,malignant neoplasm of gallbladder and extrahepatic bile ducts,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms
157,malignant neoplasm of pancreas,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms
158,malignant neoplasm of retroperitoneum and peritoneum,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms
159,malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms
160,"malignant neoplasm of nasal cavities, middle ear and accessory sinuses",neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms
161,malignant neoplasm of larynx,neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms
162,"malignant neoplasm of trachea, bronchus and lung",neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms
163,malignant neoplasm of pleura,neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms
164,"malignant neoplasm of thymus, heart and mediastinum",neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms
165,malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs,neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms
170,malignant neoplasm of bone and articular cartilage,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms
171,malignant neoplasm of connective and other soft tissue,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms
172,malignant melanoma of skin,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms
173,other malignant neoplasm of skin,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms
174,malignant neoplasm of female breast,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms
175,malignant neoplasm of male breast,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms
179,"malignant neoplasm of uterus, part unspecified",neoplasms,malignant neoplasm of genitourinary organs,neoplasms
180,malignant neoplasm of cervix uteri,neoplasms,malignant neoplasm of genitourinary organs,neoplasms
181,malignant neoplasm of placenta,neoplasms,malignant neoplasm of genitourinary organs,neoplasms
182,malignant neoplasm of body of uterus,neoplasms,malignant neoplasm of genitourinary organs,neoplasms
183,malignant neoplasm of ovary and other uterine adnexa,neoplasms,malignant neoplasm of genitourinary organs,neoplasms
184,malignant neoplasm of other and unspecified female genital organs,neoplasms,malignant neoplasm of genitourinary organs,neoplasms
185,malignant neoplasm of prostate,neoplasms,malignant neoplasm of genitourinary organs,neoplasms
186,malignant neoplasm of testis,neoplasms,malignant neoplasm of genitourinary organs,neoplasms
187,malignant neoplasm of penis and other male genital organs,neoplasms,malignant neoplasm of genitourinary organs,neoplasms
188,malignant neoplasm of bladder,neoplasms,malignant neoplasm of genitourinary organs,neoplasms
189,malignant neoplasm of kidney and other and unspecified urinary organs,neoplasms,malignant neoplasm of genitourinary organs,neoplasms
190,malignant neoplasm of eye,neoplasms,malignant neoplasm of other and unspecified sites,neoplasms
191,malignant neoplasm of brain,neoplasms,malignant neoplasm of other and unspecified sites,neoplasms
192,malignant neoplasm of other and unspecified parts of nervous system,neoplasms,malignant neoplasm of other and unspecified sites,neoplasms
193,malignant neoplasm of thyroid gland,neoplasms,malignant neoplasm of other and unspecified sites,neoplasms
194,malignant neoplasm of other endocrine glands and related structures,neoplasms,malignant neoplasm of other and unspecified sites,neoplasms
195,malignant neoplasm of other and ill-defined sites,neoplasms,malignant neoplasm of other and unspecified sites,neoplasms
196,secondary and unspecified malignant neoplasm of lymph nodes,neoplasms,malignant neoplasm of other and unspecified sites,neoplasms
197,secondary malignant neoplasm of respiratory and digestive systems,neoplasms,malignant neoplasm of other and unspecified sites,neoplasms
198,secondary malignant neoplasm of other specified sites,neoplasms,malignant neoplasm of other and unspecified sites,neoplasms
199,malignant neoplasm without specification of site,neoplasms,malignant neoplasm of other and unspecified sites,neoplasms
200,lymphosarcoma and reticulosarcoma,neoplasms,malignant neoplasm of lymphatic and haematopoietic tissue,neoplasms
201,hodgkin's disease,neoplasms,malignant neoplasm of lymphatic and haematopoietic tissue,neoplasms
202,other malignant neoplasm of lymphoid and histiocytic tissue,neoplasms,malignant neoplasm of lymphatic and haematopoietic tissue,neoplasms
203,multiple myeloma and immunoproliferative neoplasms,neoplasms,malignant neoplasm of lymphatic and haematopoietic tissue,neoplasms
204,lymphoid leukaemia,neoplasms,malignant neoplasm of lymphatic and haematopoietic tissue,neoplasms
205,myeloid leukaemia,neoplasms,malignant neoplasm of lymphatic and haematopoietic tissue,neoplasms
206,monocytic leukaemia,neoplasms,malignant neoplasm of lymphatic and haematopoietic tissue,neoplasms
207,other specified leukaemia,neoplasms,malignant neoplasm of lymphatic and haematopoietic tissue,neoplasms
208,leukaemia of unspecified cell type,neoplasms,malignant neoplasm of lymphatic and haematopoietic tissue,neoplasms
210,"benign neoplasm of lip, oral cavity and pharynx",neoplasms,benign neoplasm,neoplasms
211,benign neoplasm of other parts of digestive system,neoplasms,benign neoplasm,neoplasms
212,benign neoplasm of respiratory and intrathoracic organs,neoplasms,benign neoplasm,neoplasms
213,benign neoplasm of bone and articular cartilage,neoplasms,benign neoplasm,neoplasms
214,lipoma,neoplasms,benign neoplasm,neoplasms
215,other benign neoplasm of connective and other soft tissue,neoplasms,benign neoplasm,neoplasms
216,benign neoplasm of skin,neoplasms,benign neoplasm,neoplasms
217,benign neoplasm of breast,neoplasms,benign neoplasm,neoplasms
218,uterine leiomyoma,neoplasms,benign neoplasm,neoplasms
219,other benign neoplasm of uterus,neoplasms,benign neoplasm,neoplasms
220,benign neoplasm of ovary,neoplasms,benign neoplasm,neoplasms
221,benign neoplasm of other female genital organs,neoplasms,benign neoplasm,neoplasms
222,benign neoplasm of male genital organs,neoplasms,benign neoplasm,neoplasms
223,benign neoplasm of kidney and other urinary organs,neoplasms,benign neoplasm,neoplasms
224,benign neoplasm of eye,neoplasms,benign neoplasm,neoplasms
225,benign neoplasm of brain and other parts of nervous system,neoplasms,benign neoplasm,neoplasms
226,benign neoplasm of thyroid gland,neoplasms,benign neoplasm,neoplasms
227,benign neoplasm of other endocrine glands and related structures,neoplasms,benign neoplasm,neoplasms
228,"haemangioma and lymphangioma, any site",neoplasms,benign neoplasm,neoplasms
229,benign neoplasm of other and unspecified sites,neoplasms,benign neoplasm,neoplasms
230,carcinoma in situ of digestive organs,neoplasms,carcinoma in situ,neoplasms
231,carcinoma in situ of respiratory system,neoplasms,carcinoma in situ,neoplasms
232,carcinoma in situ of skin,neoplasms,carcinoma in situ,neoplasms
233,carcinoma in situ of breast and genitourinary system,neoplasms,carcinoma in situ,neoplasms
234,carcinoma in situ of other and unspecified sites,neoplasms,carcinoma in situ,neoplasms
235,neoplasm of uncertain behaviour of digestive and respiratory systems,neoplasms,neoplasms of uncertain behaviour,neoplasms
236,neoplasm of uncertain behaviour of genitourinary organs,neoplasms,neoplasms of uncertain behaviour,neoplasms
237,neoplasm of uncertain behaviour of endocrine glands and nervous system,neoplasms,neoplasms of uncertain behaviour,neoplasms
238,neoplasm of uncertain behaviour of other and unspecified sites and tissues,neoplasms,neoplasms of uncertain behaviour,neoplasms
239,neoplasm of unspecified nature,neoplasms,neoplasms of unspecified nature,neoplasms
240,simple and unspecified goitre,"endocrine, nutritional and metabolic diseases and immunity disorders",disorders of thyroid gland,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
241,nontoxic nodular goitre,"endocrine, nutritional and metabolic diseases and immunity disorders",disorders of thyroid gland,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
242,thyrotoxicosis with or without goitre,"endocrine, nutritional and metabolic diseases and immunity disorders",disorders of thyroid gland,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
243,congenital hypothyroidism,"endocrine, nutritional and metabolic diseases and immunity disorders",disorders of thyroid gland,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
244,acquired hypothyroidism,"endocrine, nutritional and metabolic diseases and immunity disorders",disorders of thyroid gland,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
245,thyroiditis,"endocrine, nutritional and metabolic diseases and immunity disorders",disorders of thyroid gland,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
246,other disorders of the thyroid,"endocrine, nutritional and metabolic diseases and immunity disorders",disorders of thyroid gland,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
250,diabetes mellitus,"endocrine, nutritional and metabolic diseases and immunity disorders",diseases of other endocrine glands,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
251,other disorders of pancreatic internal secretion,"endocrine, nutritional and metabolic diseases and immunity disorders",diseases of other endocrine glands,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
252,disorders of parathyroid gland,"endocrine, nutritional and metabolic diseases and immunity disorders",diseases of other endocrine glands,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
253,disorders of the pituitary gland and its hypothalamic control,"endocrine, nutritional and metabolic diseases and immunity disorders",diseases of other endocrine glands,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
254,diseases of thymus gland,"endocrine, nutritional and metabolic diseases and immunity disorders",diseases of other endocrine glands,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
255,disorders of adrenal glands,"endocrine, nutritional and metabolic diseases and immunity disorders",diseases of other endocrine glands,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
256,ovarian dysfunction,"endocrine, nutritional and metabolic diseases and immunity disorders",diseases of other endocrine glands,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
257,testicular dysfunction,"endocrine, nutritional and metabolic diseases and immunity disorders",diseases of other endocrine glands,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
258,polyglandular dysfunction and related disorders,"endocrine, nutritional and metabolic diseases and immunity disorders",diseases of other endocrine glands,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
259,other endocrine disorders,"endocrine, nutritional and metabolic diseases and immunity disorders",diseases of other endocrine glands,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
260,kwashiorkor,"endocrine, nutritional and metabolic diseases and immunity disorders",nutritional deficiences,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
261,nutritional marasmus,"endocrine, nutritional and metabolic diseases and immunity disorders",nutritional deficiences,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
262,other severe protein-calorie malnutrition,"endocrine, nutritional and metabolic diseases and immunity disorders",nutritional deficiences,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
263,other and unspecified protein-calorie malnutrition,"endocrine, nutritional and metabolic diseases and immunity disorders",nutritional deficiences,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
264,vitamin 'a' deficiency,"endocrine, nutritional and metabolic diseases and immunity disorders",nutritional deficiences,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
265,thiamine and niacin deficiency states,"endocrine, nutritional and metabolic diseases and immunity disorders",nutritional deficiences,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
266,deficiency of 'b'-complex components,"endocrine, nutritional and metabolic diseases and immunity disorders",nutritional deficiences,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
267,ascorbic acid deficiency,"endocrine, nutritional and metabolic diseases and immunity disorders",nutritional deficiences,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
268,vitamin 'd' deficiency,"endocrine, nutritional and metabolic diseases and immunity disorders",nutritional deficiences,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
269,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases and immunity disorders",nutritional deficiences,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
270,disorders of amino-acid transport and metabolism,"endocrine, nutritional and metabolic diseases and immunity disorders",other metabolic disorders and immunity disorders,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
271,disorders of carbohydrate transport and metabolism,"endocrine, nutritional and metabolic diseases and immunity disorders",other metabolic disorders and immunity disorders,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
272,disorders of lipoid metabolism,"endocrine, nutritional and metabolic diseases and immunity disorders",other metabolic disorders and immunity disorders,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
273,disorders of plasma protein metabolism,"endocrine, nutritional and metabolic diseases and immunity disorders",other metabolic disorders and immunity disorders,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
