code,description,category,subcategory,commoncat
009.3,"diarrhoea, of presumed infectious origin",infections and parasitic diseases,intestinal and infectious diseases,certain infectious and parasitic diseases
010,primary tuberculous infection,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
010.0,primary tuberculous complex,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
010.1,tuberculous pleurisy in primary progressive tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
010.8,other primary progressive tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
010.9,unspecified,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011,pulmonary tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011.0,"tuberculosis of lung, infiltrative",infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011.1,"tuberculosis of lung, nodular",infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011.2,tuberculosis of lung with cavitation,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011.3,tuberculosis of bronchus,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011.4,tuberculous fibrosis of lung,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011.5,tuberculous bronchiectasis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011.6,tuberculous pneumonia (any form),infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011.7,tuberculous pneumothorax,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011.8,other pulmonary tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
011.9,unspecified,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
012,other respiratory tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
012.0,tuberculous pleurisy,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
012.1,tuberculosis of intrathoracic lymph nodes,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
012.2,isolated tracheal or bronchial tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
012.3,tuberculous laryngitis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
012.8,other,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
013,tuberculosis of meninges and central nervous system,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
013.0,tuberculous meningitis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
013.1,tuberculoma of meninges,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
013.8,other,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
013.9,unspecified,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
014,"tuberculosis of intestines, peritoneum and mesenteric glands",infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
015,tuberculosis of bones and joints,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
015.0,vertebral column,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
015.1,hip,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
015.2,knee,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
015.7,other bone,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
015.8,other joint,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
015.9,unspecified,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
016,tuberculosis of genitourinary system,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
016.0,kidney,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
016.1,other urinary organs,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
016.2,epididymis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
016.3,other male genital organs,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
016.4,female genital organs,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
016.9,unspecified,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017,tuberculosis of other organs,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017.0,skin and subcutaneous cellular tissue,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017.1,erythema nodosum with hypersensitivity reaction in tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017.2,peripheral lymph nodes,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017.3,eye,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017.4,ear,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017.5,thyroid gland,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017.6,adrenal glands,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017.7,spleen,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
017.8,other,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
018,miliary tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
018.0,acute,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
018.8,other,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
018.9,unspecified,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases
020,plague,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
020.0,bubonic,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
020.1,cellulocutaneous,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
020.2,septicaemic,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
020.3,primary pneumonic,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
020.4,secondary pneumonic,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
020.5,"pneumonic, unspecified",infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
020.8,other,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
020.9,unspecified,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
021,tularaemia,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
022,anthrax,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
022.0,cutaneous anthrax,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
022.1,pulmonary anthrax,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
022.2,gastrointestinal anthrax,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
022.3,anthrax septicaemia,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
022.8,other manifestations,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
022.9,unspecified,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
023,brucellosis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
023.0,brucella melitensis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
023.1,brucella abortus,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
023.2,brucella suis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
023.3,brucella canis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
023.8,other,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
023.9,unspecified,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
024,glanders,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
025,melioidosis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
026,rat-bite fever,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
026.0,spirillary fever,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
026.1,streptobacillary fever,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
026.9,unspecified,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
027,other zoonotic bacterial diseases,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
027.0,listeriosis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
027.1,erysipelothrix infection,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
027.2,pasteurellosis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
027.8,other,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
027.9,unspecified,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases
030,leprosy,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
030.0,lepromatous (type l),infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
030.1,tuberculoid (type t),infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
030.2,indeterminate (group i),infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
030.3,borderline (group b),infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
030.8,other,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
030.9,unspecified,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
031,diseases due to other mycobacteria,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
031.0,pulmonary,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
031.1,cutaneous,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
031.8,other,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
031.9,unspecified,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
032,diphtheria,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
032.0,faucial diphtheria,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
032.1,nasopharyngeal diphtheria,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
032.2,anterior nasal diphtheria,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
032.3,laryngeal diphtheria,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
032.8,other,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
032.9,"diphtheria, unspecified",infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
033,whooping cough,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
033.0,bordetella pertussis (b.pertussis),infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
033.1,bordetella parapertussis (b.parapertussis),infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
033.8,other specified organism,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
033.9,"whooping cough, unspecified organism",infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
034,streptococcal sore throat and scarlatina,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
034.0,streptococcal sore throat,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
034.1,scarlatina,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
035,erysipelas,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
036,meningococcal infection,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
036.0,meningococcal meningitis,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
036.1,meningococcal encephalitis,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
036.2,meningococcaemia,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
036.3,"waterhouse-friderichsen syndrome, meningococcal",infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
036.4,meningococcal carditis,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
036.8,other,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
036.9,unspecified,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
037,tetanus,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
038,septicaemia,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
038.0,streptococcal septicaemia,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
038.1,staphylococcal septicaemia,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
038.2,pneumococcal septicaemia,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
038.3,septicaemia due to anaerobes,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
038.4,septicaemia due to other gram-negative organisms,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
038.8,other specified septicaemias,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
038.9,unspecified septicaemia,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
039,actinomycotic infections,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
039.0,cutaneous,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
039.1,pulmonary,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
039.2,abdominal,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
039.3,cervicofacial,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
039.4,madura foot,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
039.8,of other specified sites,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
039.9,of unspecified site,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
040,other bacterial diseases,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
040.0,gas gangrene,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
040.1,rhinoscleroma,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
040.2,whipple's disease,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
040.3,necrobacillosis,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
040.8,other bacterial diseases,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041,bacterial infection in conditions classified elsewhere and of unspecified site,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041.0,streptococcus,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041.1,staphylococcus,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041.2,pneumococcus,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041.3,friedlander's bacillus,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041.4,escherichia coli,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041.5,haemophilus influenzae (h.influenzae),infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041.6,proteus (mirabilis) (morganii),infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041.7,pseudomonas,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041.8,other,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
041.9,"bacterial infection, unspecified",infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases
042,human immunodeficiency virus (hiv) infection with specified conditions,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
042.0,hiv infection with certain specified infections,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
042.1,hiv infection causing other specified infections,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
042.2,hiv infection with specified malignant neoplasms,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
042.9,acquired immunodeficiency syndrome with or without other conditions,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
043,human immunodeficiency virus (hiv) infection causing other specified conditions,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
043.0,hiv infection causing lymphadenopathy (785.6),infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
043.1,hiv infection causing specified diseases of the central nervous system,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
043.2,hiv infection causing other disorders involving the immune mechanism,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
043.3,hiv infection causing other specified conditions,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
043.9,acquired immunodeficiency syndrome-related complex with or without other conditions,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
044,other human immunodeficiency virus (hiv) infection,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
044.0,hiv infection causing specified acute infections,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
044.9,"hiv infection not otherwise specified (with or without other conditions not classifiable to 042, 043, 044.0)",infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
045,acute poliomyelitis,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
045.0,acute paralytic poliomyelitis specified as bulbar,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
045.1,acute poliomyelitis with other paralysis,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
045.2,acute nonparalytic poliomyelitis,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
045.9,"acute poliomyelitis, unspecified",infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
046,slow virus infection of central nervous system,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
046.0,kuru,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
046.1,jakob-creutzfeldt disease,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
046.2,subacute sclerosing panencephalitis,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
046.3,progressive multifocal leucoencephalopathy,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
046.8,other,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
046.9,unspecified,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
047,meningitis due to enterovirus,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
047.0,coxsackie virus,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
047.1,echo virus,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
047.8,other,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
047.9,unspecified,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
048,other enterovirus diseases of central nervous system,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
049,other non-arthropod-borne viral diseases of central nervous system,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
049.0,lymphocytic choriomeningitis,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
049.1,meningitis due to adenovirus,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
049.8,other,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
049.9,unspecified,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases
050,smallpox,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
050.0,variola major,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
050.1,alastrim,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
050.2,modified smallpox,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
050.9,"smallpox, unspecified",infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
051,cowpox and paravaccinia,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
051.0,cowpox,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
051.1,pseudocowpox,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
051.2,contagious pustular dermatitis,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
051.9,"paravaccinia, unspecified",infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
052,chickenpox,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases
