code,description,category,subcategory,commoncat,description_clean,icd10subcategory,MatchStage,MatchedBDescription
014,"tuberculosis of intestines, peritoneum and mesenteric glands",infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases,tuberculosis of intestines peritoneum and mesenteric glands,tuberculosis,subcategory,
015,tuberculosis of bones and joints,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases,tuberculosis of bones and joints,tuberculosis,subcategory,
016,tuberculosis of genitourinary system,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases,tuberculosis of genitourinary system,tuberculosis,subcategory,
017,tuberculosis of other organs,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases,tuberculosis of other organs,tuberculosis,subcategory,
018,miliary tuberculosis,infections and parasitic diseases,tuberculosis,certain infectious and parasitic diseases,miliary tuberculosis,tuberculosis,subcategory,
020,plague,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases,plague,certain zoonotic bacterial diseases,subcategory,
021,tularaemia,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases,tularaemia,certain zoonotic bacterial diseases,subcategory,
022,anthrax,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases,anthrax,certain zoonotic bacterial diseases,subcategory,
023,brucellosis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases,brucellosis,certain zoonotic bacterial diseases,subcategory,
024,glanders,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases,glanders,certain zoonotic bacterial diseases,subcategory,
025,melioidosis,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases,melioidosis,certain zoonotic bacterial diseases,subcategory,
026,rat-bite fever,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases,ratbite fever,certain zoonotic bacterial diseases,subcategory,
027,other zoonotic bacterial diseases,infections and parasitic diseases,zoonotic bacterial disease,certain infectious and parasitic diseases,other zoonotic bacterial diseases,certain zoonotic bacterial diseases,subcategory,
030,leprosy,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,leprosy,other bacterial diseases,subcategory,
031,diseases due to other mycobacteria,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,diseases due to other mycobacteria,other bacterial diseases,subcategory,
032,diphtheria,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,diphtheria,other bacterial diseases,subcategory,
033,whooping cough,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,whooping cough,other bacterial diseases,subcategory,
034,streptococcal sore throat and scarlatina,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,streptococcal sore throat and scarlatina,other bacterial diseases,subcategory,
035,erysipelas,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,erysipelas,other bacterial diseases,subcategory,
036,meningococcal infection,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,meningococcal infection,other bacterial diseases,subcategory,
037,tetanus,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,tetanus,other bacterial diseases,subcategory,
038,septicaemia,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,septicaemia,other bacterial diseases,subcategory,
039,actinomycotic infections,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,actinomycotic infections,other bacterial diseases,subcategory,
040,other bacterial diseases,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,other bacterial diseases,other bacterial diseases,subcategory,
041,bacterial infection in conditions classified elsewhere and of unspecified site,infections and parasitic diseases,other bacterial diseases,certain infectious and parasitic diseases,bacterial infection in conditions classified elsewhere and of unspecified site,other bacterial diseases,subcategory,
042,human immunodeficiency virus (hiv) infection with specified conditions,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases,human immunodeficiency virus hiv infection with specified conditions,human immunodeficiency virus [hiv] disease,skipped_subcategory,human immunodeficiency virus [hiv] disease
043,human immunodeficiency virus (hiv) infection causing other specified conditions,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases,human immunodeficiency virus hiv infection causing other specified conditions,human immunodeficiency virus [hiv] disease,skipped_subcategory,human immunodeficiency virus [hiv] disease
044,other human immunodeficiency virus (hiv) infection,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases,other human immunodeficiency virus hiv infection,,skipped_subcategory,
045,acute poliomyelitis,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases,acute poliomyelitis,viral and prion infections of the central nervous system,skipped_subcategory,acute poliomyelitis
046,slow virus infection of central nervous system,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases,slow virus infection of central nervous system,viral and prion infections of the central nervous system,skipped_subcategory,atypical virus infections of central nervous system
047,meningitis due to enterovirus,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases,meningitis due to enterovirus,viral and prion infections of the central nervous system,skipped_subcategory,viral meningitis
048,other enterovirus diseases of central nervous system,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases,other enterovirus diseases of central nervous system,,skipped_subcategory,
049,other non-arthropod-borne viral diseases of central nervous system,infections and parasitic diseases,poliomyelitis and other non-arthropod borne viral diseases of central nervous system,certain infectious and parasitic diseases,other nonarthropodborne viral diseases of central nervous system,other viral diseases,skipped_subcategory,"other viral diseases, nec"
050,smallpox,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases,smallpox,Viral infections characterized by skin and mucous membrane lesions,manual,
051,cowpox and paravaccinia,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases,cowpox and paravaccinia,Viral infections characterized by skin and mucous membrane lesions,manual,
052,chickenpox,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases,chickenpox,Viral infections characterized by skin and mucous membrane lesions,manual,
053,herpes zoster,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases,herpes zoster,Viral infections characterized by skin and mucous membrane lesions,manual,
054,herpes simplex,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases,herpes simplex,Viral infections characterized by skin and mucous membrane lesions,manual,
055,measles,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases,measles,Viral infections characterized by skin and mucous membrane lesions,manual,
056,rubella,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases,rubella,Viral infections characterized by skin and mucous membrane lesions,manual,
057,other viral exanthemata,infections and parasitic diseases,viral diseases accompanied by exanthem,certain infectious and parasitic diseases,other viral exanthemata,Viral infections characterized by skin and mucous membrane lesions,manual,
060,yellow fever,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases,yellow fever,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers
061,dengue,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases,dengue,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers
062,mosquito-borne viral encephalitis,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases,mosquitoborne viral encephalitis,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers
063,tick-borne viral encephalitis,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases,tickborne viral encephalitis,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers
064,viral encephalitis transmitted by other and unspecified arthropods,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases,viral encephalitis transmitted by other and unspecified arthropods,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers
065,arthropod-borne haemorrhagic fever,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases,arthropodborne haemorrhagic fever,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers
066,other arthropod-borne viral diseases,infections and parasitic diseases,arthropod-borne viral diseases,certain infectious and parasitic diseases,other arthropodborne viral diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers
070,viral hepatitis,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases,viral hepatitis,viral hepatitis,skipped_subcategory,other acute viral hepatitis
071,rabies,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases,rabies,viral and prion infections of the central nervous system,skipped_subcategory,rabies
072,mumps,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases,mumps,other viral diseases,skipped_subcategory,mumps
073,ornithosis,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases,ornithosis,other bacterial diseases,skipped_subcategory,nocardiosis
074,specific diseases due to coxsackie virus,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases,specific diseases due to coxsackie virus,,skipped_subcategory,
075,infectious mononucleosis,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases,infectious mononucleosis,other viral diseases,skipped_subcategory,infectious mononucleosis
076,trachoma,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases,trachoma,other diseases caused by chlamydiae,skipped_subcategory,trachoma
077,other diseases of conjunctiva due to viruses and chlamydiae,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases,other diseases of conjunctiva due to viruses and chlamydiae,,skipped_subcategory,
078,other diseases due to viruses and chlamydiae,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases,other diseases due to viruses and chlamydiae,other diseases caused by chlamydiae,skipped_subcategory,other diseases caused by chlamydiae
079,viral infection in conditions classified elsewhere and of unspecified site,infections and parasitic diseases,other diseases due to viruses and chlamydiae,certain infectious and parasitic diseases,viral infection in conditions classified elsewhere and of unspecified site,other viral diseases,skipped_subcategory,viral infection of unspecified site
080,louse-borne (epidemic) typhus,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases,louseborne epidemic typhus,rickettsioses,skipped_subcategory,typhus fever
081,other typhus,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases,other typhus,rickettsioses,skipped_subcategory,typhus fever
082,tick-borne rickettsioses,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases,tickborne rickettsioses,rickettsioses,skipped_subcategory,spotted fever [tick-borne rickettsioses]
083,other rickettsioses,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases,other rickettsioses,rickettsioses,skipped_subcategory,other rickettsioses
084,malaria,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases,malaria,protozoal diseases,skipped_subcategory,plasmodium falciparum malaria
085,leishmaniasis,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases,leishmaniasis,protozoal diseases,skipped_subcategory,leishmaniasis
086,trypanosomiasis,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases,trypanosomiasis,protozoal diseases,skipped_subcategory,african trypanosomiasis
087,relapsing fever,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases,relapsing fever,other spirochetal diseases,skipped_subcategory,relapsing fevers
088,other arthropod-borne diseases,infections and parasitic diseases,rickettsiosis and other arthropod-borne diseases,certain infectious and parasitic diseases,other arthropodborne diseases,arthropod-borne viral fevers and viral hemorrhagic fevers,skipped_subcategory,"other arthropod-borne viral fevers, nec"
090,congenital syphilis,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases,congenital syphilis,infections with a predominantly sexual mode of transmission,skipped_subcategory,congenital syphilis
091,"early syphilis, symptomatic",infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases,early syphilis symptomatic,infections with a predominantly sexual mode of transmission,skipped_subcategory,early syphilis
092,"early syphilis, latent",infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases,early syphilis latent,infections with a predominantly sexual mode of transmission,skipped_subcategory,early syphilis
093,cardiovascular syphilis,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases,cardiovascular syphilis,infections with a predominantly sexual mode of transmission,skipped_subcategory,late syphilis
094,neurosyphilis,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases,neurosyphilis,infections with a predominantly sexual mode of transmission,skipped_subcategory,early syphilis
095,"other forms of late syphilis, with symptoms",infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases,other forms of late syphilis with symptoms,infections with a predominantly sexual mode of transmission,skipped_subcategory,late syphilis
096,"late syphilis, latent",infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases,late syphilis latent,infections with a predominantly sexual mode of transmission,skipped_subcategory,late syphilis
097,other and unspecified syphilis,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases,other and unspecified syphilis,infections with a predominantly sexual mode of transmission,skipped_subcategory,other and unspecified syphilis
098,gonococcal infections,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases,gonococcal infections,infections with a predominantly sexual mode of transmission,skipped_subcategory,gonococcal infection
099,other venereal diseases,infections and parasitic diseases,syphilis and other venereal diseases,certain infectious and parasitic diseases,other venereal diseases,other viral diseases,skipped_subcategory,"other viral diseases, nec"
100,leptospirosis,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,leptospirosis,other spirochetal diseases,subcategory,
101,vincent's angina,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,vincents angina,other spirochetal diseases,subcategory,
102,yaws,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,yaws,other spirochetal diseases,subcategory,
103,pinta,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,pinta,other spirochetal diseases,subcategory,
104,other spirochaetal infection,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,other spirochaetal infection,other spirochetal diseases,subcategory,
110,dermatophytosis,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,dermatophytosis,other spirochetal diseases,subcategory,
111,"dermatomycosis, other and unspecified",infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,dermatomycosis other and unspecified,other spirochetal diseases,subcategory,
112,candidiasis,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,candidiasis,other spirochetal diseases,subcategory,
114,coccidioidomycosis,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,coccidioidomycosis,other spirochetal diseases,subcategory,
115,histoplasmosis,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,histoplasmosis,other spirochetal diseases,subcategory,
116,blastomycotic infection,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,blastomycotic infection,other spirochetal diseases,subcategory,
117,other mycoses,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,other mycoses,other spirochetal diseases,subcategory,
118,opportunistic mycoses,infections and parasitic diseases,other spirochaetal diseases,certain infectious and parasitic diseases,opportunistic mycoses,other spirochetal diseases,subcategory,
120,schistosomiasis (bilharziasis),infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases,schistosomiasis bilharziasis,helminthiases,subcategory,
121,other trematode infections,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases,other trematode infections,helminthiases,subcategory,
122,echinococcosis,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases,echinococcosis,helminthiases,subcategory,
123,other cestode infection,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases,other cestode infection,helminthiases,subcategory,
124,trichinosis,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases,trichinosis,helminthiases,subcategory,
125,filarial infection and dracontiasis,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases,filarial infection and dracontiasis,helminthiases,subcategory,
126,ancylostomiasis and necatoriasis,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases,ancylostomiasis and necatoriasis,helminthiases,subcategory,
127,other intestinal helminthiases,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases,other intestinal helminthiases,helminthiases,subcategory,
128,other and unspecified helminthiases,infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases,other and unspecified helminthiases,helminthiases,subcategory,
129,"intestinal parasitism, unspecified",infections and parasitic diseases,helminthiases,certain infectious and parasitic diseases,intestinal parasitism unspecified,helminthiases,subcategory,
130,toxoplasmosis,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases,toxoplasmosis,protozoal diseases,skipped_subcategory,toxoplasmosis
131,trichomoniasis,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases,trichomoniasis,infections with a predominantly sexual mode of transmission,skipped_subcategory,trichomoniasis
132,pediculosis and phthirus infestation,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases,pediculosis and phthirus infestation,"pediculosis, acariasis and other infestations",skipped_subcategory,pediculosis and phthiriasis
133,acariasis,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases,acariasis,helminthiases,skipped_subcategory,ascariasis
134,other infestation,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases,other infestation,"pediculosis, acariasis and other infestations",skipped_subcategory,other infestations
135,sarcoidosis,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases,sarcoidosis,,skipped_subcategory,
136,other and unspecified infectious and parasitic diseases,infections and parasitic diseases,other infectious and parasitic diseases,certain infectious and parasitic diseases,other and unspecified infectious and parasitic diseases,sequelae of infectious and parasitic diseases,skipped_subcategory,sequelae of other and unspecified infectious and parasitic diseases
137,late effects of tuberculosis,infections and parasitic diseases,late effects of infectious and parasitic diseases,certain infectious and parasitic diseases,late effects of tuberculosis,sequelae of infectious and parasitic diseases,subcategory,
138,late effects of acute poliomyelitis,infections and parasitic diseases,late effects of infectious and parasitic diseases,certain infectious and parasitic diseases,late effects of acute poliomyelitis,sequelae of infectious and parasitic diseases,subcategory,
139,late effects of other infectious and parasitic diseases,infections and parasitic diseases,late effects of infectious and parasitic diseases,certain infectious and parasitic diseases,late effects of other infectious and parasitic diseases,sequelae of infectious and parasitic diseases,subcategory,
140,malignant neoplasm of lip,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms,malignant neoplasm of lip,"malignant neoplasms of lip, oral cavity and pharynx",subcategory,
141,malignant neoplasm of tongue,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms,malignant neoplasm of tongue,"malignant neoplasms of lip, oral cavity and pharynx",subcategory,
142,malignant neoplasm of major salivary glands,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms,malignant neoplasm of major salivary glands,"malignant neoplasms of lip, oral cavity and pharynx",subcategory,
143,malignant neoplasm of gum,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms,malignant neoplasm of gum,"malignant neoplasms of lip, oral cavity and pharynx",subcategory,
144,malignant neoplasm of floor of mouth,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms,malignant neoplasm of floor of mouth,"malignant neoplasms of lip, oral cavity and pharynx",subcategory,
145,malignant neoplasm of other and unspecified parts of mouth,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms,malignant neoplasm of other and unspecified parts of mouth,"malignant neoplasms of lip, oral cavity and pharynx",subcategory,
146,malignant neoplasm of oropharynx,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms,malignant neoplasm of oropharynx,"malignant neoplasms of lip, oral cavity and pharynx",subcategory,
147,malignant neoplasm of nasopharynx,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms,malignant neoplasm of nasopharynx,"malignant neoplasms of lip, oral cavity and pharynx",subcategory,
148,malignant neoplasm of hypopharynx,neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms,malignant neoplasm of hypopharynx,"malignant neoplasms of lip, oral cavity and pharynx",subcategory,
149,"malignant neoplasm of other and ill-defined sites within the lip, oral cavity and pharynx",neoplasms,"malignant neoplasm of lip, oral cavity and pharynx",neoplasms,malignant neoplasm of other and illdefined sites within the lip oral cavity and pharynx,"malignant neoplasms of lip, oral cavity and pharynx",subcategory,
150,malignant neoplasm of oesophagus,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms,malignant neoplasm of oesophagus,malignant neoplasms of digestive organs,subcategory,
151,malignant neoplasm of stomach,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms,malignant neoplasm of stomach,malignant neoplasms of digestive organs,subcategory,
152,"malignant neoplasm of small intestine, including duodenum",neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms,malignant neoplasm of small intestine including duodenum,malignant neoplasms of digestive organs,subcategory,
153,malignant neoplasm of colon,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms,malignant neoplasm of colon,malignant neoplasms of digestive organs,subcategory,
154,"malignant neoplasm of rectum, rectosigmoid junction and anus",neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms,malignant neoplasm of rectum rectosigmoid junction and anus,malignant neoplasms of digestive organs,subcategory,
155,malignant neoplasm of liver and intrahepatic bile ducts,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms,malignant neoplasm of liver and intrahepatic bile ducts,malignant neoplasms of digestive organs,subcategory,
156,malignant neoplasm of gallbladder and extrahepatic bile ducts,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms,malignant neoplasm of gallbladder and extrahepatic bile ducts,malignant neoplasms of digestive organs,subcategory,
157,malignant neoplasm of pancreas,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms,malignant neoplasm of pancreas,malignant neoplasms of digestive organs,subcategory,
158,malignant neoplasm of retroperitoneum and peritoneum,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms,malignant neoplasm of retroperitoneum and peritoneum,malignant neoplasms of digestive organs,subcategory,
159,malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,neoplasms,malignant neoplasm of digestive organs and peritoneum,neoplasms,malignant neoplasm of other and illdefined sites within the digestive organs and peritoneum,malignant neoplasms of digestive organs,subcategory,
160,"malignant neoplasm of nasal cavities, middle ear and accessory sinuses",neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms,malignant neoplasm of nasal cavities middle ear and accessory sinuses,malignant neoplasms of respiratory and intrathoracic organs,subcategory,
161,malignant neoplasm of larynx,neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms,malignant neoplasm of larynx,malignant neoplasms of respiratory and intrathoracic organs,subcategory,
162,"malignant neoplasm of trachea, bronchus and lung",neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms,malignant neoplasm of trachea bronchus and lung,malignant neoplasms of respiratory and intrathoracic organs,subcategory,
163,malignant neoplasm of pleura,neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms,malignant neoplasm of pleura,malignant neoplasms of respiratory and intrathoracic organs,subcategory,
164,"malignant neoplasm of thymus, heart and mediastinum",neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms,malignant neoplasm of thymus heart and mediastinum,malignant neoplasms of respiratory and intrathoracic organs,subcategory,
165,malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs,neoplasms,malignant neoplasm of respiratory and intrathoracic organs,neoplasms,malignant neoplasm of other and illdefined sites within the respiratory system and intrathoracic organs,malignant neoplasms of respiratory and intrathoracic organs,subcategory,
170,malignant neoplasm of bone and articular cartilage,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms,malignant neoplasm of bone and articular cartilage,malignant neoplasms of bone and articular cartilage,skipped_subcategory,malignant neoplasm of bone and articular cartilage of limbs
171,malignant neoplasm of connective and other soft tissue,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms,malignant neoplasm of connective and other soft tissue,malignant neoplasms of mesothelial and soft tissue,skipped_subcategory,malignant neoplasm of other connective and soft tissue
172,malignant melanoma of skin,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms,malignant melanoma of skin,melanoma and other malignant neoplasms of skin,skipped_subcategory,malignant melanoma of skin
173,other malignant neoplasm of skin,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms,other malignant neoplasm of skin,melanoma and other malignant neoplasms of skin,skipped_subcategory,other and unspecified malignant neoplasm of skin
174,malignant neoplasm of female breast,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms,malignant neoplasm of female breast,malignant neoplasms of breast,skipped_subcategory,malignant neoplasm of breast
175,malignant neoplasm of male breast,neoplasms,"malignant neoplasm of bone, connective tissue, skin and breast",neoplasms,malignant neoplasm of male breast,malignant neoplasms of breast,skipped_subcategory,malignant neoplasm of breast
