"code","description","subcategory","commoncat","icd10subcategory","MatchStage","manual_icd10"
"130","toxoplasmosis","other infectious and parasitic diseases","certain infectious and parasitic diseases","protozoal diseases","fuzzy by code",NA
"131","trichomoniasis","other infectious and parasitic diseases","certain infectious and parasitic diseases","infections with a predominantly sexual mode of transmission","fuzzy by code",NA
"132","pediculosis and phthirus infestation","other infectious and parasitic diseases","certain infectious and parasitic diseases","pediculosis, acariasis and other infestations","fuzzy by code",NA
"133","acariasis","other infectious and parasitic diseases","certain infectious and parasitic diseases","helminthiases","fuzzy by code",NA
"134","other infestation","other infectious and parasitic diseases","certain infectious and parasitic diseases","pediculosis, acariasis and other infestations","fuzzy by code",NA
"135","sarcoidosis","other infectious and parasitic diseases","certain infectious and parasitic diseases","certain disorders involving the immune mechanism","manual by code","d86"
"136","other and unspecified infectious and parasitic diseases","other infectious and parasitic diseases","certain infectious and parasitic diseases","other infectious diseases","manual by code","b99"
"137","late effects of tuberculosis","late effects of infectious and parasitic diseases","certain infectious and parasitic diseases","sequelae of infectious and parasitic diseases","fuzzy by subcategory",NA
"138","late effects of acute poliomyelitis","late effects of infectious and parasitic diseases","certain infectious and parasitic diseases","sequelae of infectious and parasitic diseases","fuzzy by subcategory",NA
"139","late effects of other infectious and parasitic diseases","late effects of infectious and parasitic diseases","certain infectious and parasitic diseases","sequelae of infectious and parasitic diseases","fuzzy by subcategory",NA
"140","malignant neoplasm of lip","malignant neoplasm of lip, oral cavity and pharynx","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by subcategory",NA
"141","malignant neoplasm of tongue","malignant neoplasm of lip, oral cavity and pharynx","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by subcategory",NA
"142","malignant neoplasm of major salivary glands","malignant neoplasm of lip, oral cavity and pharynx","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by subcategory",NA
"143","malignant neoplasm of gum","malignant neoplasm of lip, oral cavity and pharynx","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by subcategory",NA
"144","malignant neoplasm of floor of mouth","malignant neoplasm of lip, oral cavity and pharynx","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by subcategory",NA
"145","malignant neoplasm of other and unspecified parts of mouth","malignant neoplasm of lip, oral cavity and pharynx","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by subcategory",NA
"146","malignant neoplasm of oropharynx","malignant neoplasm of lip, oral cavity and pharynx","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by subcategory",NA
"147","malignant neoplasm of nasopharynx","malignant neoplasm of lip, oral cavity and pharynx","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by subcategory",NA
"148","malignant neoplasm of hypopharynx","malignant neoplasm of lip, oral cavity and pharynx","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by subcategory",NA
"149","malignant neoplasm of other and ill-defined sites within the lip, oral cavity and pharynx","malignant neoplasm of lip, oral cavity and pharynx","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by subcategory",NA
"150","malignant neoplasm of oesophagus","malignant neoplasm of digestive organs and peritoneum","neoplasms","malignant neoplasms of digestive organs","fuzzy by subcategory",NA
"151","malignant neoplasm of stomach","malignant neoplasm of digestive organs and peritoneum","neoplasms","malignant neoplasms of digestive organs","fuzzy by subcategory",NA
"152","malignant neoplasm of small intestine, including duodenum","malignant neoplasm of digestive organs and peritoneum","neoplasms","malignant neoplasms of digestive organs","fuzzy by subcategory",NA
"153","malignant neoplasm of colon","malignant neoplasm of digestive organs and peritoneum","neoplasms","malignant neoplasms of digestive organs","fuzzy by subcategory",NA
"154","malignant neoplasm of rectum, rectosigmoid junction and anus","malignant neoplasm of digestive organs and peritoneum","neoplasms","malignant neoplasms of digestive organs","fuzzy by subcategory",NA
"155","malignant neoplasm of liver and intrahepatic bile ducts","malignant neoplasm of digestive organs and peritoneum","neoplasms","malignant neoplasms of digestive organs","fuzzy by subcategory",NA
"156","malignant neoplasm of gallbladder and extrahepatic bile ducts","malignant neoplasm of digestive organs and peritoneum","neoplasms","malignant neoplasms of digestive organs","fuzzy by subcategory",NA
"157","malignant neoplasm of pancreas","malignant neoplasm of digestive organs and peritoneum","neoplasms","malignant neoplasms of digestive organs","fuzzy by subcategory",NA
"158","malignant neoplasm of retroperitoneum and peritoneum","malignant neoplasm of digestive organs and peritoneum","neoplasms","malignant neoplasms of digestive organs","fuzzy by subcategory",NA
"159","malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum","malignant neoplasm of digestive organs and peritoneum","neoplasms","malignant neoplasms of digestive organs","fuzzy by subcategory",NA
"15b","sterilization – female","additional diagnostic codes","nan","persons encountering health services in circumstances related to reproduction","manual by code","z30"
"160","malignant neoplasm of nasal cavities, middle ear and accessory sinuses","malignant neoplasm of respiratory and intrathoracic organs","neoplasms","malignant neoplasms of respiratory and intrathoracic organs","fuzzy by subcategory",NA
"161","malignant neoplasm of larynx","malignant neoplasm of respiratory and intrathoracic organs","neoplasms","malignant neoplasms of respiratory and intrathoracic organs","fuzzy by subcategory",NA
"162","malignant neoplasm of trachea, bronchus and lung","malignant neoplasm of respiratory and intrathoracic organs","neoplasms","malignant neoplasms of respiratory and intrathoracic organs","fuzzy by subcategory",NA
"163","malignant neoplasm of pleura","malignant neoplasm of respiratory and intrathoracic organs","neoplasms","malignant neoplasms of respiratory and intrathoracic organs","fuzzy by subcategory",NA
"164","malignant neoplasm of thymus, heart and mediastinum","malignant neoplasm of respiratory and intrathoracic organs","neoplasms","malignant neoplasms of respiratory and intrathoracic organs","fuzzy by subcategory",NA
"165","malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs","malignant neoplasm of respiratory and intrathoracic organs","neoplasms","malignant neoplasms of respiratory and intrathoracic organs","fuzzy by subcategory",NA
"16b","consultation re sterilization – female","additional diagnostic codes","nan","persons encountering health services in circumstances related to reproduction","manual by code","z30"
"170","malignant neoplasm of bone and articular cartilage","malignant neoplasm of bone, connective tissue, skin and breast","neoplasms","malignant neoplasms of bone and articular cartilage","fuzzy by code",NA
"171","malignant neoplasm of connective and other soft tissue","malignant neoplasm of bone, connective tissue, skin and breast","neoplasms","malignant neoplasms of mesothelial and soft tissue","fuzzy by code",NA
"172","malignant melanoma of skin","malignant neoplasm of bone, connective tissue, skin and breast","neoplasms","melanoma and other malignant neoplasms of skin","fuzzy by code",NA
"173","other malignant neoplasm of skin","malignant neoplasm of bone, connective tissue, skin and breast","neoplasms","melanoma and other malignant neoplasms of skin","fuzzy by code",NA
"174","malignant neoplasm of female breast","malignant neoplasm of bone, connective tissue, skin and breast","neoplasms","malignant neoplasms of breast","fuzzy by code",NA
"175","malignant neoplasm of male breast","malignant neoplasm of bone, connective tissue, skin and breast","neoplasms","malignant neoplasms of breast","fuzzy by code",NA
"179","malignant neoplasm of uterus, part unspecified","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of female genital organs","fuzzy by code",NA
"17b","consultation re abortion","additional diagnostic codes","nan","persons encountering health services in other circumstances","manual by code","z70"
"180","malignant neoplasm of cervix uteri","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of female genital organs","fuzzy by code",NA
"181","malignant neoplasm of placenta","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of female genital organs","fuzzy by code",NA
"182","malignant neoplasm of body of uterus","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of female genital organs","manual by code","c54"
"183","malignant neoplasm of ovary and other uterine adnexa","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of female genital organs","fuzzy by code",NA
"184","malignant neoplasm of other and unspecified female genital organs","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of female genital organs","fuzzy by code",NA
"185","malignant neoplasm of prostate","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of male genital organs","fuzzy by code",NA
"186","malignant neoplasm of testis","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of male genital organs","fuzzy by code",NA
"187","malignant neoplasm of penis and other male genital organs","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of male genital organs","fuzzy by code",NA
"188","malignant neoplasm of bladder","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of urinary tract","fuzzy by code",NA
"189","malignant neoplasm of kidney and other and unspecified urinary organs","malignant neoplasm of genitourinary organs","neoplasms","malignant neoplasms of urinary tract","fuzzy by code",NA
"18b","genetic counselling – female","additional diagnostic codes","nan","persons encountering health services in circumstances related to reproduction","manual by code","z31"
"190","malignant neoplasm of eye","malignant neoplasm of other and unspecified sites","neoplasms","malignant neoplasms of ill-defined, other secondary and unspecified sites","fuzzy by subcategory",NA
"191","malignant neoplasm of brain","malignant neoplasm of other and unspecified sites","neoplasms","malignant neoplasms of ill-defined, other secondary and unspecified sites","fuzzy by subcategory",NA
"192","malignant neoplasm of other and unspecified parts of nervous system","malignant neoplasm of other and unspecified sites","neoplasms","malignant neoplasms of ill-defined, other secondary and unspecified sites","fuzzy by subcategory",NA
"193","malignant neoplasm of thyroid gland","malignant neoplasm of other and unspecified sites","neoplasms","malignant neoplasms of ill-defined, other secondary and unspecified sites","fuzzy by subcategory",NA
"194","malignant neoplasm of other endocrine glands and related structures","malignant neoplasm of other and unspecified sites","neoplasms","malignant neoplasms of ill-defined, other secondary and unspecified sites","fuzzy by subcategory",NA
"195","malignant neoplasm of other and ill-defined sites","malignant neoplasm of other and unspecified sites","neoplasms","malignant neoplasms of ill-defined, other secondary and unspecified sites","fuzzy by subcategory",NA
"196","secondary and unspecified malignant neoplasm of lymph nodes","malignant neoplasm of other and unspecified sites","neoplasms","malignant neoplasms of ill-defined, other secondary and unspecified sites","fuzzy by subcategory",NA
"197","secondary malignant neoplasm of respiratory and digestive systems","malignant neoplasm of other and unspecified sites","neoplasms","malignant neoplasms of ill-defined, other secondary and unspecified sites","fuzzy by subcategory",NA
"198","secondary malignant neoplasm of other specified sites","malignant neoplasm of other and unspecified sites","neoplasms","malignant neoplasms of ill-defined, other secondary and unspecified sites","fuzzy by subcategory",NA
"199","malignant neoplasm without specification of site","malignant neoplasm of other and unspecified sites","neoplasms","malignant neoplasms of ill-defined, other secondary and unspecified sites","fuzzy by subcategory",NA
"19b","artificial insemination","additional diagnostic codes","nan","persons encountering health services in circumstances related to reproduction","manual by code","z31"
